Class,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,5.590671,8.864086,-0.56817,3.001572,0.824318,-7.932412,-17.608261,-9.706611,-6.121801,5.893277,2.736635,2.933768,6.919123,5.173804
0,8.663186,13.015183,3.41844,6.074087,1.369259,-9.630018,-20.187315,-17.064575,-9.356291,2.323535,4.151725,2.868476,6.675532,7.678776
0,7.936179,10.92959,6.5123,6.899033,1.421996,-12.006916,-18.297599,-16.89381,-8.394483,0.613373,4.23334,1.288899,7.058497,8.699599
0,6.026373,7.289532,8.002727,7.012039,4.08141,-11.723145,-14.945079,-16.238373,-11.831129,-1.971959,4.783304,0.067176,9.586071,9.859797
0,5.059542,7.028362,8.184793,7.785504,9.064986,-4.755681,-9.157903,-18.366658,-18.817428,-8.291521,3.92069,0.67741,8.413317,9.254586
0,3.355658,6.931679,5.40735,6.350325,10.051908,6.433196,2.644975,-14.406416,-17.683598,-13.130701,-0.212828,0.995083,-0.167626,3.42974
0,-1.378049,0.101078,-1.035263,-0.329602,2.822018,13.77107,18.350335,2.710267,-3.641941,-9.730468,-4.265987,-1.248719,-10.139802,-5.986193
0,-7.711422,-12.197771,-7.17527,-8.869109,-6.688088,13.483532,29.521633,23.37158,12.68621,-1.637963,-4.007328,-4.22204,-13.872775,-12.682443
0,-11.961714,-20.425884,-9.007228,-12.750246,-9.287232,10.375859,30.430705,31.553234,19.702643,2.303444,-1.34038,-4.613795,-11.617673,-13.361736
0,-12.683698,-19.736545,-8.425873,-11.425562,-5.584393,9.81585,23.401715,25.807493,18.753391,1.935546,-0.879565,-2.429007,-7.764159,-10.782682
0,-10.885643,-14.947591,-9.023551,-9.745535,-4.056297,10.010472,13.858964,17.863152,17.064575,3.918179,-1.956892,-0.197761,-3.684632,-8.216184
0,-6.861364,-9.975315,-9.051175,-8.655653,-6.814906,5.801616,3.621851,12.574459,14.840863,8.638074,-0.774093,0.725124,0.966204,-5.035685
0,-0.401172,-1.921734,-4.620073,-3.988494,-6.777237,-2.914934,-8.664442,3.388305,8.120756,10.13729,1.653031,0.725124,4.932724,0.332113
0,6.198394,9.204361,3.019151,4.446797,-0.559381,-10.642052,-22.128511,-11.063942,-1.062887,6.991949,1.28011,0.65732,7.201639,6.455797
0,9.375126,15.354413,9.372615,10.557925,5.623318,-13.193482,-31.418883,-20.988404,-7.099933,2.858431,-0.751492,1.533746,8.299055,10.476309
0,9.248308,13.118145,12.841907,11.323856,6.816162,-11.841174,-31.137622,-21.360069,-10.632007,-1.497333,0.19525,3.359425,7.948736,11.617673
0,9.456741,11.557403,13.563892,10.919545,6.887732,-9.957736,-21.760613,-20.154669,-16.655241,-7.066031,3.130902,3.867954,5.338291,10.870576
0,10.810305,16.922689,10.058186,11.955436,9.459253,-7.865864,-9.103911,-22.778925,-23.425572,-10.385904,2.510623,1.214817,2.088733,8.541391
0,9.165436,19.13259,2.697711,9.97657,9.653875,-3.382027,2.152769,-20.601671,-22.082053,-7.707656,-1.614106,-2.329813,0.640997,4.298633
0,1.944336,6.818673,-3.616828,1.715812,2.730357,2.958881,11.546102,-5.388516,-9.274676,-2.231874,-3.169826,-3.066865,0.08601,-1.054097
